ID,my_cat,reason,informativeness,sharing
0,Screen,5,7,1
1,Cosmetics,3,4,2
2,Person,1,6,1
3,Person,1,6,1
4,Vehicle Plate,1,7,1
5,Person,2,2,1
6,Person,1,7,2
7,Person,1,5,2
8,Person,1,6,2
9,Person,1,6,2
10,Clothing,3,5,2
11,Person,1,5,2
12,Person,1,6,2
13,Person,1,6,2
14,Person,1,6,2
15,Person,1,6,2
16,Pet,1,3,3
17,Person,1,6,2
18,Person,2,5,1
19,Person,1,5,1
20,Screen,3,5,1
21,Person,1,7,2
22,Person,1,7,2
23,Person,1,2,3
24,Person,4,7,2
25,Toy,1,3,2
26,Person,3,3,1
27,Clothing,3,4,1
28,Scenery,2,5,2
29,Person,1,7,2
30,Person,1,7,2
31,Accessory,1,5,2
32,Person,1,7,2
33,Person,1,1,3
34,Clothing,1,1,3
35,Person,1,4,2
36,Person,1,7,2
37,Person,1,5,2
38,Person,1,1,3
39,Person,1,1,3
40,Person,1,1,3
41,Person,1,2,3
42,Person,1,7,2
43,Person,1,7,2
44,Machine,1,5,1
45,Table,2,6,1
46,Vehicle Plate,1,5,1
47,Toy,4,4,2
48,Clothing,1,5,1
49,Vehicle Plate,1,7,1
50,Pet,3,4,2
51,Home interior,2,3,3
52,Person,1,7,1
53,Person,1,5,1
54,Person,1,7,1
55,Vehicle Plate,2,6,2
56,Finger,2,2,3
57,Table,2,2,3
58,Accessory,1,4,2
59,Person,3,5,2
60,Person,3,4,2
61,Clothing,3,5,2
62,Person,3,4,2
63,Person,1,5,1
64,Screen,3,5,2
65,Person,3,4,2
66,Person,1,7,1
67,Person,1,4,2
68,Person,1,5,2
69,Person,1,6,2
70,Vehicle Plate,1,6,2
71,Clothing,1,6,1
72,Person,1,6,1
73,Person,1,5,1
74,Accessory,3,4,1
75,Person,1,6,1
76,Person,1,4,1
77,Clothing,1,4,1
78,Person,1,5,1
79,Person,1,5,1
80,Person,1,5,1
81,Person,1,5,1
82,Person,1,5,1
83,Person,1,5,1
84,Person,1,5,1
85,Person,1,5,1
86,Person,1,5,1
87,Person,1,5,1
88,Person,1,4,1
89,Clothing,4,5,1
90,Person,1,6,1
91,Person,1,4,1
92,Person,1,6,1
93,Clothing,2,2,2
94,Book,3,5,2
95,Scenery,2,2,4
96,Place Identifier,2,1,4
97,Screen,3,6,1
98,Vehicle Plate,2,5,3
99,Table,3,7,2
100,Accessory,4,4,1
101,Accessory,1,5,4
102,Clothing,1,5,4
103,Person,1,5,2
104,Person,1,4,2
105,Person,1,7,2
106,Clothing,1,4,2
107,Person,3,3,2
108,Person,1,7,2
109,Person,1,6,2
110,Person,1,7,1
111,Screen,3,2,3
112,Pet,1,4,1
113,Table,2,5,2
114,Table,3,5,1
115,Person,1,6,2
116,Person,1,5,2
117,Person,1,5,2
118,Person,1,2,2
119,Person,1,5,2
120,Person,1,2,1
121,Person,1,2,1
122,Person,1,7,2
123,Paper&Document&Label,3,3,2
124,Cosmetics,3,6,2
125,Vehicle Plate,1,7,1
126,Scenery,2,3,3
127,Vehicle Plate,1,7,2
128,Home interior,1,4,2
129,Person,1,5,1
130,Person,1,5,1
131,Person,1,5,1
132,Place Identifier,2,4,2
133,Place Identifier,2,6,2
134,Vehicle Plate,1,7,1
135,Person,1,7,2
136,Person,1,7,1
137,Person,1,7,1
138,Person,1,7,1
139,Person,1,7,1
140,Person,1,5,2
141,Pet,1,4,3
142,Machine,3,3,2
143,Person,3,5,1
144,Clothing,2,7,2
145,Person,1,7,2
146,Scenery,2,5,1
147,Place Identifier,2,6,1
148,Person,1,6,1
149,Person,4,5,1
150,Person,1,6,1
151,Person,1,6,1
152,Person,1,6,1
153,Person,1,7,2
154,Person,1,4,2
155,Person,1,6,2
156,Person,1,7,2
157,Person,1,7,2
158,Person,1,7,1
159,Person,1,6,2
160,Place Identifier,2,7,2
161,Pet,3,5,1
162,Food,1,4,2
163,Clothing,3,4,2
164,Person,1,6,2
165,Clothing,1,4,2
166,Person,1,6,2
167,Person,1,5,2
168,Accessory,3,3,2
169,Person,1,3,2
170,Person,1,3,1
171,Person,1,3,2
172,Person,1,3,2
173,Person,1,3,2
174,Pet,3,2,3
175,Clothing,3,2,4
176,Toy,3,5,4
177,Cosmetics,3,4,3
178,Place Identifier,2,5,1
179,Musical instrument,3,3,1
180,Food,2,5,2
181,Person,1,7,2
182,Clothing,2,4,2
183,Table,2,4,2
184,Place Identifier,2,5,2
185,Clothing,1,5,2
186,Person,1,7,2
187,Accessory,3,3,1
188,Place Identifier,2,5,1
189,Clothing,3,4,1
190,Vehicle Plate,1,7,1
191,Person,1,6,2
192,Person,1,5,2
193,Cosmetics,1,3,2
194,Person,1,5,2
195,Person,1,5,2
196,Person,1,4,2
197,Person,1,5,2
198,Person,1,5,2
199,Cigarettes,1,6,1
200,Person,1,6,2
201,Person,1,7,1
202,Person,1,7,1
203,Person,1,7,1
204,Person,1,5,2
205,Person,1,6,2
206,Accessory,1,5,2
207,Person,1,7,2
208,Person,1,5,2
209,Person,1,7,2
210,Person,1,5,1
211,Table,2,4,2
212,Vehicle Plate,1,7,1
213,Vehicle Plate,1,6,2
214,Book,3,4,2
215,Person,1,6,2
216,Person,1,6,2
217,Person,1,7,1
218,Person,3,4,1
219,Person,1,5,1
220,Screen,3,5,1
221,Clothing,1,7,1
222,Person,1,7,1
223,Person,1,7,1
224,Person,1,7,1
225,Table,2,2,3
226,Person,1,7,2
227,Person,1,4,2
228,Pet,3,3,3
229,Vehicle Plate,1,7,2
230,Pet,1,5,2
231,Person,1,4,1
232,Clothing,1,4,1
233,Book,2,5,1
234,Person,1,4,2
235,Vehicle Plate,1,6,1
236,Scenery,2,5,2
237,Vehicle Plate,1,6,2
238,Book,3,5,2
239,Toy,3,5,2
240,Home interior,1,6,2
241,Food,2,2,2
242,Paper&Document&Label,2,2,2
243,Finger,2,2,3
244,Table,2,4,2
245,Vehicle Plate,1,7,2
246,Scenery,2,6,2
247,Pet,2,4,1
248,Clothing,2,4,1
249,Cigarettes,3,4,2
250,Vehicle Plate,1,7,2
251,Person,1,7,2
252,Finger,2,4,2
253,Person,1,7,1
254,Person,1,7,1
255,Table,2,5,2
256,Person,1,7,1
257,Clothing,3,4,1
258,Toy,3,4,1
259,Machine,3,2,3
260,Clothing,3,3,3
261,Cosmetics,3,2,2
262,Table,3,4,2
263,Machine,2,4,3
264,Vehicle Plate,1,7,1
265,Person,1,4,2
266,Clothing,1,4,2
267,Person,1,4,2
268,Person,1,4,2
269,Person,1,3,3
270,Clothing,1,3,3
271,Person,1,5,3
272,Person,1,6,3
273,Table,3,2,3
274,Toy,3,4,3
275,Screen,1,5,1
276,Screen,3,5,1
277,Person,1,2,1
278,Person,1,2,1
279,Clothing,1,4,1
280,Person,1,4,1
281,Person,1,3,1
282,Person,1,2,1
283,Person,1,4,1
284,Clothing,1,4,2
285,Electronic Devices,1,4,2
286,Person,1,6,1
287,Person,1,5,1
288,Accessory,1,5,1
289,Person,4,4,1
290,Person,1,4,1
291,Clothing,3,5,1
292,Person,1,5,1
293,Person,1,5,1
294,Person,1,4,1
295,Person,1,4,1
296,Person,1,4,1
297,Person,1,7,1
298,Person,1,4,1
299,Person,4,5,1
300,Person,1,6,1
301,Person,1,4,1
302,Person,1,3,3
303,Person,1,7,2
304,Clothing,1,5,2
305,Person,1,7,2
306,Person,1,7,2
307,Person,5,4,2
308,Person,1,5,2
309,Person,1,7,2
310,Person,1,6,1
311,Clothing,2,4,3
312,Photo,2,4,2
313,Vehicle Plate,1,7,2
314,Clothing,1,4,2
315,Table,3,5,1
316,Table,2,5,1
317,Screen,1,7,1
318,Screen,1,6,1
319,Place Identifier,2,6,2
320,Vehicle Plate,1,7,2
321,Person,1,6,2
322,Person,1,6,2
323,Person,1,6,2
324,Vehicle Plate,1,7,1
325,Clothing,1,5,3
326,Vehicle Plate,1,4,3
327,Pet,5,2,2
328,Book,3,5,2
329,Accessory,1,5,1
330,Vehicle Plate,1,7,1
331,Cosmetics,1,1,3
332,Person,1,6,2
333,Person,1,5,2
334,Person,1,5,2
335,Clothing,1,5,2
336,Person,1,6,2
337,Person,1,5,2
338,Person,1,5,2
339,Person,1,7,2
340,Person,1,7,2
341,Accessory,3,5,2
342,Person,1,7,2
343,Person,1,6,2
344,Person,1,7,2
345,Person,3,3,1
346,Paper&Document&Label,2,5,1
347,Vehicle Plate,1,7,1
348,Musical instrument,3,1,3
349,Screen,3,6,1
350,Table,2,5,1
351,Paper&Document&Label,3,6,2
352,Vehicle Plate,1,4,1
353,Home interior,2,5,2
354,Musical instrument,3,4,2
355,Paper&Document&Label,3,3,3
356,Person,1,6,2
357,Person,1,6,2
358,Person,1,7,1
359,Table,2,2,3
360,Person,1,7,1
361,Person,1,7,1
362,Person,1,7,1
363,Person,1,7,1
364,Person,1,6,2
365,Person,1,5,2
366,Person,1,5,2
367,Home interior,2,7,1
368,Pet,1,7,1
369,Book,1,6,1
370,Toy,1,7,1
371,Book,4,6,2
372,Person,1,7,1
373,Clothing,5,3,2
374,Person,1,7,1
375,Machine,3,5,2
376,Place Identifier,2,6,2
377,Person,1,5,1
378,Person,1,6,1
379,Person,1,6,1
380,Person,1,6,1
381,Person,1,6,1
382,Home interior,3,3,3
383,Photo,2,2,2
384,Cigarettes,3,3,3
385,Place Identifier,2,1,1
386,Home interior,3,2,3
387,Place Identifier,2,6,2
388,Book,3,5,2
389,Book,3,5,2
390,Pet,1,6,2
391,Paper&Document&Label,5,4,3
392,Paper&Document&Label,1,6,1
393,Scenery,2,7,2
394,Screen,1,6,1
395,Clothing,1,5,2
396,Home interior,2,4,2
397,Person,4,6,2
398,Person,4,7,2
399,Person,4,7,2
400,Home interior,3,2,2
401,Clothing,1,7,2
402,Screen,3,7,1
403,Electronic Devices,3,4,3
404,Place Identifier,2,4,2
405,Place Identifier,2,5,2
406,Table,3,2,2
407,Machine,3,4,3
408,Pet,1,6,2
409,Book,3,5,1
410,Table,3,4,4
411,Toy,3,1,4
412,Musical instrument,3,4,2
413,Screen,3,7,1
414,Place Identifier,2,3,3
415,Place Identifier,2,3,3
416,Person,1,6,1
417,Person,1,6,1
418,Screen,2,3,3
419,Screen,3,2,3
420,Clothing,1,4,2
421,Accessory,1,5,2
422,Person,1,1,3
423,Clothing,1,2,3
424,Person,1,1,3
425,Person,1,7,1
426,Person,1,6,1
427,Paper&Document&Label,2,4,3
428,Book,3,4,3
429,Person,1,5,1
430,Clothing,1,2,2
431,Person,1,6,1
432,Book,3,5,3
433,Person,1,2,2
434,Person,1,6,1
435,Place Identifier,2,6,1
436,Vehicle Plate,1,7,1
437,Pet,3,5,2
438,Paper&Document&Label,2,6,3
439,Person,1,4,1
440,Person,1,7,1
441,Finger,2,2,3
442,Person,1,3,3
443,Person,3,3,3
444,Clothing,1,2,3
445,Person,1,5,1
446,Table,2,3,3
447,Person,1,2,3
448,Place Identifier,2,4,2
449,Electronic Devices,2,5,2
450,Vehicle Plate,1,7,1
451,Place Identifier,2,5,2
452,Clothing,3,5,1
453,Photo,3,6,1
454,Screen,3,4,1
455,Accessory,1,5,2
456,Cigarettes,3,5,2
457,Scenery,2,4,3
458,Person,1,7,1
459,Person,1,7,1
460,Place Identifier,2,6,1
461,Person,1,7,1
462,Table,2,6,1
463,Table,2,7,1
464,Screen,3,7,1
465,Toy,2,6,2
466,Person,1,5,1
467,Person,1,6,1
468,Person,1,5,1
469,Screen,3,6,1
470,Screen,3,6,1
471,Table,3,5,1
472,Home interior,3,3,2
473,Table,3,3,2
474,Table,3,4,2
475,Book,3,5,2
476,Person,1,5,1
477,Person,1,5,1
478,Finger,3,5,3
479,Person,1,7,1
480,Person,1,7,1
481,Accessory,1,7,1
482,Person,1,7,1
483,Person,1,7,1
484,Person,1,7,1
485,Accessory,3,3,3
486,Person,1,5,2
487,Person,1,5,2
488,Screen,1,6,2
489,Person,1,4,2
490,Identity,1,7,1
491,Clothing,1,5,1
492,Screen,4,6,1
493,Screen,4,6,1
494,Pet,1,3,1
495,Screen,3,5,2
496,Person,1,7,1
497,Person,1,5,1
498,Person,1,7,1
499,Person,1,5,1
500,Person,1,7,1
501,Person,1,7,1
502,Person,1,7,1
503,Person,1,7,1
504,Person,1,5,1
505,Person,1,7,1
506,Person,1,7,1
507,Clothing,2,7,1
508,Person,2,3,2
509,Person,1,6,2
510,Vehicle Plate,1,7,2
511,Vehicle Plate,1,7,3
512,Place Identifier,2,5,3
513,Person,1,7,1
514,Clothing,1,2,3
515,Home interior,2,2,2
516,Vehicle Plate,2,3,3
517,Vehicle Plate,1,7,1
518,Clothing,3,6,3
519,Person,1,7,3
520,Person,1,5,2
521,Person,1,3,2
522,Clothing,1,6,2
523,Person,1,7,2
524,Person,1,7,1
525,Person,1,7,1
526,Person,1,7,1
527,Person,4,7,1
528,Person,1,3,2
529,Person,1,3,2
530,Person,1,7,2
531,Person,1,7,2
532,Person,1,2,2
533,Clothing,1,6,2
534,Person,1,6,2
535,Person,1,3,2
536,Person,1,6,2
537,Person,1,5,2
538,Accessory,1,5,2
539,Person,1,7,2
540,Person,1,5,2
541,Clothing,1,5,2
542,Person,1,5,2
543,Person,1,6,2
544,Person,1,6,2
545,Person,1,5,2
546,Person,1,5,2
547,Person,1,5,2
548,Person,1,7,2
549,Person,1,7,2
550,Screen,1,2,3
551,Screen,3,2,3
552,Book,3,5,3
553,Person,1,5,2
554,Person,1,5,2
555,Person,1,5,2
556,Book,3,5,1
557,Person,1,7,2
558,Pet,3,6,2
559,Clothing,1,5,1
560,Vehicle Plate,1,6,1
561,Photo,3,5,2
562,Finger,2,5,3
563,Person,1,5,2
564,Person,2,4,3
565,Vehicle Plate,1,4,1
566,Pet,3,5,2
567,Person,1,7,2
568,Person,1,7,1
569,Screen,5,4,2
570,Clothing,1,4,1
571,Place Identifier,2,4,4
572,Vehicle Plate,1,6,1
573,Person,1,7,1
574,Person,3,6,2
575,Person,1,7,1
576,Person,1,6,1
577,Clothing,3,6,1
578,Person,1,5,2
579,Person,1,7,1
580,Person,1,3,2
581,Person,1,4,2
582,Person,1,7,1
583,Table,2,7,2
584,Person,1,3,2
585,Person,1,7,2
586,Person,1,2,2
587,Person,1,7,2
588,Person,1,5,2
589,Person,1,2,3
590,Person,1,2,2
591,Person,1,2,3
592,Person,1,2,3
593,Person,1,7,2
594,Person,1,7,1
595,Person,1,7,1
596,Person,1,7,1
597,Person,1,7,1
598,Paper&Document&Label,1,2,3
599,Scenery,2,7,3
600,Person,1,7,1
601,Person,1,4,2
602,Person,1,5,1
603,Person,1,2,2
604,Clothing,1,2,2
605,Person,1,5,2
606,Person,1,6,1
607,Person,1,2,2
608,Person,1,2,3
609,Person,1,7,1
610,Person,3,3,2
611,Accessory,3,2,2
612,Person,1,7,1
613,Person,1,5,2
614,Person,1,3,2
615,Person,1,3,2
616,Person,1,6,1
617,Person,3,2,3
618,Person,1,7,1
619,Clothing,3,4,3
620,Person,1,6,1
621,Person,1,6,1
622,Place Identifier,2,5,2
623,Book,3,6,2
624,Person,1,7,2
625,Paper&Document&Label,1,7,1
626,Home interior,3,2,2
627,Musical instrument,3,4,2
628,Person,1,4,1
629,Clothing,3,4,2
630,Person,3,4,2
631,Person,5,4,2
632,Person,1,7,2
633,Screen,3,3,1
634,Screen,3,6,1
635,Pet,1,2,3
636,Clothing,1,1,4
637,Home interior,1,1,4
638,Book,3,6,1
639,Screen,3,5,2
640,Table,3,4,3
641,Screen,3,6,1
642,Pet,3,5,3
643,Person,1,5,3
644,Person,1,3,4
645,Person,3,3,3
646,Person,2,7,1
647,Photo,2,6,1
648,Person,2,7,1
649,Electronic Devices,1,4,1
650,Food,1,4,1
651,Cigarettes,1,5,2
652,Person,1,7,1
653,Person,1,5,1
654,Place Identifier,2,6,2
655,Scenery,2,5,2
656,Cigarettes,3,2,2
657,Vehicle Plate,1,7,2
658,Screen,3,6,1
659,Clothing,1,5,2
660,Person,5,4,2
661,Clothing,3,1,3
662,Clothing,5,6,1
663,Book,3,4,2
664,Place Identifier,2,5,2
665,Vehicle Plate,1,7,1
666,Person,3,2,3
667,Accessory,3,2,3
668,Person,1,3,2
669,Person,1,5,2
670,Cigarettes,3,4,2
671,Person,1,2,4
672,Person,1,2,4
673,Musical instrument,2,4,1
674,Place Identifier,2,4,3
675,Person,1,2,3
676,Scenery,2,5,2
677,Person,1,6,2
678,Accessory,3,2,3
679,Person,1,7,2
680,Finger,1,7,2
681,Person,1,6,2
682,Clothing,1,5,2
683,Person,1,7,2
684,Person,1,7,2
685,Person,1,7,2
686,Cosmetics,3,4,2
687,Place Identifier,2,6,2
688,Pet,1,5,2
689,Table,2,5,2
690,Machine,3,4,2
691,Electronic Devices,3,7,2
692,Clothing,3,5,2
693,Food,2,5,1
694,Screen,2,5,1
695,Pet,3,5,2
696,Scenery,2,6,1
697,Table,3,4,2
698,Clothing,2,6,3
699,Screen,3,5,1
700,Machine,3,1,4
701,Person,1,5,2
702,Person,1,7,2
703,Person,1,7,1
704,Person,1,7,1
705,Cigarettes,3,2,1
706,Vehicle Plate,1,7,2
707,Person,1,7,2
708,Person,2,6,1
709,Person,2,4,1
710,Person,1,7,2
711,Person,1,4,2
712,Person,1,7,2
713,Person,1,3,2
714,Clothing,3,5,3
715,Photo,2,6,2
716,Person,1,6,2
717,Clothing,2,3,1
718,Photo,2,6,2
719,Scenery,2,7,3
720,Finger,2,4,1
721,Table,2,5,1
722,Scenery,2,7,2
723,Screen,3,4,1
724,Book,3,5,3
725,Paper&Document&Label,3,5,1
726,Person,1,7,2
727,Toy,3,6,1
728,Book,3,7,1
729,Vehicle Plate,1,7,1
730,Person,1,5,2
731,Clothing,3,5,2
732,Person,1,7,2
733,Clothing,3,3,3
734,Person,1,5,2
735,Person,1,5,2
736,Person,1,5,2
737,Person,1,5,2
738,Person,1,5,2
739,Pet,3,4,2
740,Pet,4,6,2
741,Person,1,6,1
742,Person,1,7,2
743,Person,1,7,2
744,Cosmetics,3,1,4
745,Person,1,7,2
746,Person,1,7,2
747,Person,1,1,3
748,Clothing,1,2,3
749,Person,1,7,2
750,Person,1,7,2
751,Photo,1,7,1
752,Person,1,7,2
753,Pet,3,5,2
754,Person,1,5,2
755,Person,1,6,2
756,Person,1,7,2
757,Person,1,6,2
758,Accessory,1,4,2
759,Vehicle Plate,1,6,1
760,Home interior,2,5,2
761,Clothing,1,5,2
762,Table,1,6,1
763,Place Identifier,2,7,1
764,Person,1,7,1
765,Person,1,7,1
766,Accessory,1,5,1
767,Person,1,7,1
768,Person,1,7,1
769,Vehicle Plate,5,5,1
770,Person,1,6,2
771,Clothing,3,6,2
772,Person,1,7,2
773,Person,1,7,2
774,Person,1,5,2
775,Person,1,5,2
776,Person,1,7,2
777,Person,1,7,1
778,Person,1,7,1
779,Vehicle Plate,1,7,1
780,Person,1,6,2
781,Person,1,5,2
782,Person,1,6,2
783,Person,1,5,2
784,Person,1,5,2
785,Pet,1,3,3
786,Vehicle Plate,1,7,1
787,Paper&Document&Label,1,6,1
788,Table,4,5,2
789,Home interior,2,2,3
790,Table,3,2,3
791,Food,3,4,3
792,Table,3,2,3
793,Screen,4,4,1
794,Paper&Document&Label,3,3,2
795,Cigarettes,3,3,2
796,Screen,2,3,2
797,Person,1,7,2
798,Person,1,3,3
799,Person,1,2,3
800,Clothing,1,2,2
801,Person,1,7,1
802,Person,1,6,1
803,Screen,3,2,3
804,Person,1,6,1
805,Person,1,6,1
806,Person,1,6,1
807,Person,3,5,1
808,Person,1,6,1
809,Place Identifier,2,4,2
810,Scenery,2,4,3
811,Machine,3,3,3
812,Toy,3,4,2
813,Screen,3,5,1
814,Clothing,1,2,3
815,Vehicle Plate,1,6,1
816,Book,3,4,1
817,Food,2,2,4
818,Food,2,3,4
819,Person,1,7,1
820,Person,1,7,1
821,Accessory,3,5,2
822,Person,1,7,1
823,Clothing,1,6,2
824,Person,1,7,1
825,Person,1,7,1
826,Person,1,7,1
827,Person,1,7,1
828,Person,1,7,1
829,Screen,3,5,1
830,Screen,3,5,2
831,Table,3,4,2
832,Screen,1,7,1
833,Table,5,2,3
834,Screen,1,7,1
835,Scenery,2,3,3
836,Place Identifier,2,3,3
837,Person,1,6,2
838,Person,1,5,2
839,Person,1,5,2
840,Person,1,7,2
841,Person,1,7,1
842,Person,2,5,2
843,Person,2,3,2
844,Person,2,3,2
845,Person,2,5,2
846,Person,2,5,2
847,Person,1,4,3
848,Person,1,5,3
849,Person,1,4,2
850,Person,1,5,2
851,Person,1,4,2
852,Screen,1,5,1
853,Machine,1,5,2
854,Person,1,4,3
855,Person,1,4,3
856,Scenery,2,5,1
857,Pet,3,7,2
858,Person,1,7,2
859,Clothing,2,7,2
860,Person,1,7,1
861,Person,1,7,1
862,Scenery,1,5,2
863,Paper&Document&Label,2,3,3
864,Book,1,6,2
865,Cosmetics,3,2,1
866,Person,1,4,2
867,Person,1,4,2
868,Person,1,4,2
869,Person,1,4,2
870,Clothing,1,4,2
871,Person,1,4,2
872,Person,1,4,2
873,Person,1,4,2
874,Person,1,4,2
875,Person,1,4,2
876,Screen,1,4,3
877,Person,1,4,2
878,Person,1,4,2
879,Cosmetics,3,3,2
880,Person,1,7,1
881,Person,1,4,1
882,Accessory,1,4,1
883,Person,1,4,1
884,Clothing,1,5,1
885,Person,1,7,1
886,Person,1,7,1
887,Person,1,4,1
888,Person,1,5,1
889,Person,1,3,1
890,Person,1,7,1
891,Place Identifier,1,5,2
892,Home interior,2,6,2
893,Vehicle Plate,1,5,2
894,Table,2,2,3
895,Food,3,3,3
896,Paper&Document&Label,3,3,2
897,Person,1,3,2
898,Person,1,5,2
899,Person,1,5,2
900,Person,1,1,2
901,Person,1,2,2
902,Person,1,5,2
903,Person,3,2,3
904,Person,1,6,2
905,Person,1,5,1
906,Person,1,7,2
907,Person,1,6,2
908,Person,1,7,2
909,Person,1,6,2
910,Person,1,6,2
911,Person,1,7,2
912,Paper&Document&Label,3,5,3
913,Vehicle Plate,1,6,3
914,Musical instrument,3,3,2
915,Clothing,3,3,3
916,Pet,1,3,2
917,Person,1,7,1
918,Person,3,6,2
919,Person,3,5,2
920,Person,1,6,1
921,Clothing,3,5,2
922,Person,1,7,1
