age,gender,nationality,extraversion,agreeableness,conscientiousness,neuroticism,openness,ifPrivacy
34,Female,Japan,8,3,8,2,10,1
34,Female,Japan,8,3,8,2,10,1
34,Female,Japan,8,3,8,2,10,1
42,Male,Japan,4,6,4,5,7,1
42,Male,Japan,4,6,4,5,7,1
42,Male,Japan,4,6,4,5,7,1
20,Female,British,4,7,6,8,8,0
20,Female,British,4,7,6,8,8,0
20,Female,British,4,7,6,8,8,1
18,Male,British,8,6,3,7,6,1
18,Male,British,8,6,3,7,6,1
18,Male,British,8,6,3,7,6,1
33,Female,Japan,5,6,7,10,9,0
33,Female,Japan,5,6,7,10,9,0
42,Male,Japan,5,5,8,8,7,0
42,Male,Japan,5,5,8,8,7,0
22,Male,British,5,8,6,7,8,0
22,Male,British,5,8,6,7,8,0
27,Female,British,8,9,9,6,5,1
27,Female,British,8,9,9,6,5,1
37,Female,Japan,6,4,7,7,10,0
27,Female,Japan,9,7,6,3,9,0
20,Male,Japan,5,6,3,6,7,1
21,Male,British,3,6,6,7,9,0
21,Male,British,3,6,6,7,9,1
21,Male,British,3,6,6,7,9,1
33,Female,British,5,7,9,7,9,0
56,Female,British,6,5,9,5,5,1
58,Female,Japan,5,6,6,7,10,0
58,Female,Japan,5,6,6,7,10,1
27,Male,Japan,6,8,4,6,8,1
27,Male,Japan,6,8,4,6,8,1
29,Male,British,4,7,6,9,6,1
29,Male,British,4,7,6,9,6,1
32,Female,British,6,6,8,9,9,1
32,Female,British,6,6,8,9,9,1
40,Male,Japan,6,6,6,8,4,1
40,Male,Japan,6,6,6,8,4,0
40,Male,Japan,6,6,6,8,4,0
40,Male,Japan,6,6,6,8,4,0
40,Male,Japan,6,6,6,8,4,0
43,Male,Japan,5,6,5,9,6,1
43,Male,Japan,5,6,5,9,6,1
43,Male,Japan,5,6,5,9,6,1
43,Male,Japan,5,6,5,9,6,1
43,Male,Japan,5,6,5,9,6,1
34,Male,Japan,7,7,6,7,6,1
34,Male,Japan,7,7,6,7,6,1
34,Male,Japan,7,7,6,7,6,1
34,Male,Japan,7,7,6,7,6,1
34,Male,Japan,7,7,6,7,6,1
39,Female,British,3,6,9,6,9,1
39,Female,British,3,6,9,6,9,1
39,Female,British,3,6,9,6,9,1
39,Female,British,3,6,9,6,9,1
39,Female,British,3,6,9,6,9,1
23,Male,British,8,6,4,6,6,1
23,Male,British,8,6,4,6,6,1
23,Male,British,8,6,4,6,6,1
23,Male,British,8,6,4,6,6,1
23,Male,British,8,6,4,6,6,1
29,Male,British,5,10,10,6,8,1
29,Male,British,5,10,10,6,8,1
29,Male,British,5,10,10,6,8,1
29,Male,British,5,10,10,6,8,1
29,Male,British,5,10,10,6,8,1
41,Female,Japan,5,6,10,4,6,1
41,Female,Japan,5,6,10,4,6,1
41,Female,Japan,5,6,10,4,6,1
32,Male,Japan,6,6,5,7,6,1
32,Male,Japan,6,6,5,7,6,1
32,Male,Japan,6,6,5,7,6,1
34,Female,Japan,3,6,3,10,4,1
34,Female,Japan,3,6,3,10,4,1
34,Female,Japan,3,6,3,10,4,1
73,Male,British,3,8,10,6,6,1
73,Male,British,3,8,10,6,6,1
