category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id,nationality,bbox
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,5,CrowdWorks,8,3,8,2,10,3,175121.jpg,license_plate,LVIS,175121_はな0005_license_plate,Japan,"[0, 0, 0, 0]"
bus_(vehicle),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,5,CrowdWorks,8,3,8,2,10,3,175121.jpg,bus_(vehicle),LVIS,175121_はな0005_bus_(vehicle),Japan,"[0, 0, 0, 0]"
taillight,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,5,CrowdWorks,8,3,8,2,10,3,175121.jpg,taillight,LVIS,175121_はな0005_taillight,Japan,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Male,9,CrowdWorks,4,6,4,5,7,0,175121.jpg,license_plate,LVIS,175121_ 0258_sk_license_plate,Japan,"[0, 0, 0, 0]"
bus_(vehicle),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Male,9,CrowdWorks,4,6,4,5,7,0,175121.jpg,bus_(vehicle),LVIS,175121_ 0258_sk_bus_(vehicle),Japan,"[0, 0, 0, 0]"
taillight,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Male,9,CrowdWorks,4,6,4,5,7,0,175121.jpg,taillight,LVIS,175121_ 0258_sk_taillight,Japan,"[0, 0, 0, 0]"
license_plate,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",20,Female,2,Prolific,4,7,6,8,8,2,175121.jpg,license_plate,LVIS,175121_60d9cb98cf87e576e937ba74_license_plate,UK,"[0, 0, 0, 0]"
bus_(vehicle),"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",20,Female,2,Prolific,4,7,6,8,8,2,175121.jpg,bus_(vehicle),LVIS,175121_60d9cb98cf87e576e937ba74_bus_(vehicle),UK,"[0, 0, 0, 0]"
taillight,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Female,2,Prolific,4,7,6,8,8,2,175121.jpg,taillight,LVIS,175121_60d9cb98cf87e576e937ba74_taillight,UK,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",18,Male,5,Prolific,8,6,3,7,6,3,175121.jpg,license_plate,LVIS,175121_62b4547555b1bff45d246197_license_plate,UK,"[0, 0, 0, 0]"
bus_(vehicle),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",18,Male,5,Prolific,8,6,3,7,6,3,175121.jpg,bus_(vehicle),LVIS,175121_62b4547555b1bff45d246197_bus_(vehicle),UK,"[0, 0, 0, 0]"
taillight,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",18,Male,5,Prolific,8,6,3,7,6,3,175121.jpg,taillight,LVIS,175121_62b4547555b1bff45d246197_taillight,UK,"[0, 0, 0, 0]"
Clothing,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,9,CrowdWorks,5,6,7,10,9,1,03feb3e6845bc3aa.jpg,Clothing,OpenImages,03feb3e6845bc3aa_FGTtinyhouse_Clothing,Japan,"[0, 0, 0, 0]"
Man,"[1, 1, 0, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,9,CrowdWorks,5,6,7,10,9,1,03feb3e6845bc3aa.jpg,Man,OpenImages,03feb3e6845bc3aa_FGTtinyhouse_Man,Japan,"[0, 0, 0, 0]"
Clothing,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",42,Male,10,CrowdWorks,5,5,8,8,7,1,03feb3e6845bc3aa.jpg,Clothing,OpenImages,03feb3e6845bc3aa_BLUE THUNDER_Clothing,Japan,"[0, 0, 0, 0]"
