,image_path,category,size_group,position_group,ratio_group,bbox,informativeness,informationType,informativeness_group,"group (size, position, ratio)",bbox_name
0,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,02ef01f6d6a665ac.jpg,Pet,high,high,high,"[[475, 456, 548, 312]]",4.0,"[1, 0, 0, 0, 0]",middle,high_high_high,02ef01f6d6a665ac.jpg_Pet
4,,,,,,,,,,,
5,,,,,,,,,,,
6,976ca910c239e2fc.jpg,Clothing,high,high,high,"[[102, 765, 527, 258]]",4.0,"[0, 0, 0, 1, 0]",middle,high_high_high,976ca910c239e2fc.jpg_Clothing
7,7408fef212a5d3bc.jpg,Screen,high,high,high,"[[534, 0, 489, 376], [534, 0, 489, 376], [534, 0, 489, 376]]",4.0,"[1, 0, 1, 1, 1]",middle,high_high_high,7408fef212a5d3bc.jpg_Screen
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,d74fdc4b64b21978.jpg,Scenery,high,high,high,"[[0, 1, 921, 206], [0, 1, 921, 206]]",4.0,"[0, 1, 0, 0, 0]",middle,high_high_high,d74fdc4b64b21978.jpg_Scenery
19,0e360a4689ac06e8.jpg,Vehicle Plate,high,high,high,"[[0, 0, 1022, 125]]",5.0,"[1, 1, 0, 1, 0]",high,high_high_high,0e360a4689ac06e8.jpg_Vehicle Plate
20,04b9f8abc09386ee.jpg,Others,high,high,high,"[[1, 0, 1020, 118]]",5.0,"[0, 1, 0, 0, 0]",high,high_high_high,04b9f8abc09386ee.jpg_Others
21,,,,,,,,,,,
22,9b8ea23f201cd401.jpg,Place Identifier,high,high,high,"[[0, 0, 1024, 172], [0, 0, 1024, 172]]",2.0,"[0, 1, 0, 0, 0]",low,high_high_high,9b8ea23f201cd401.jpg_Place Identifier
23,,,,,,,,,,,
24,12435d88b4504d3f.jpg,Book,high,high,high,"[[0, 0, 486, 273]]",3.0,"[0, 0, 1, 0, 0]",middle,high_high_high,12435d88b4504d3f.jpg_Book
25,,,,,,,,,,,
26,80c164df03bf6770.jpg,Person,high,high,high,"[[512, 389, 512, 293]]",4.0,"[0, 0, 0, 1, 0]",middle,high_high_high,80c164df03bf6770.jpg_Person
27,,,,,,,,,,,
28,,,,,,,,,,,
29,27c41bbdb49d6f5f.jpg,Table,high,high,high,"[[0, 510, 904, 172], [0, 510, 904, 172], [0, 510, 904, 172], [0, 510, 904, 172]]",4.25,"[1, 1, 1, 1, 1]",high,high_high_high,27c41bbdb49d6f5f.jpg_Table
